"Timestamp","Lamp1","Lamp2","Lamp3","Lux","ColorTemperature","Red","Green","Blue",
1588060532859,0,0,0,2976,5022,6322,6023,6118,
1588060563369,0,0,0,2784,5102,5859,5637,5753,
1588060593986,0,0,0,2047,5553,4065,4147,4343,
1588060624502,0,0,0,1973,5653,3855,3989,4196,
1588060655018,0,0,0,1809,5745,3474,3646,3849,
1588060685534,0,0,0,1918,5428,3839,3864,4009,
1588060716051,0,0,0,1554,5629,3021,3128,3282,
1588060746567,0,0,0,1438,5668,2771,2889,3035,
1588060777181,0,0,0,1297,5716,2479,2604,2743,
1588060807594,0,0,0,1152,5723,2211,2322,2452,
1588060838009,0,0,0,1077,5697,2080,2175,2296,
1588060868522,0,0,0,1065,5681,2054,2145,2259,
1588060899041,0,0,0,1073,5680,2060,2154,2264,
1588060929459,0,0,0,1072,5700,2042,2144,2252,
1588060959968,0,0,0,1046,5722,1982,2088,2194,
1588060990393,0,0,0,1018,5740,1917,2027,2129,
1588061020796,0,0,0,949,5716,1789,1887,1978,
1588061051211,0,0,0,873,5675,1655,1736,1816,
1588061081723,0,0,0,814,5632,1550,1617,1687,
1588061112139,0,0,0,753,5603,1442,1498,1561,
1588061142553,0,0,0,696,5554,1343,1385,1440,
1588061173066,0,0,0,650,5520,1261,1294,1343,
1588061203376,0,0,0,608,5477,1193,1215,1260,
1588061233896,0,0,0,594,5464,1168,1187,1230,
1588061264306,0,0,0,584,5451,1154,1170,1212,
1588061294727,0,0,0,579,5446,1144,1159,1200,
1588061325338,0,0,0,570,5433,1127,1140,1179,
1588061355752,0,0,0,561,5424,1112,1123,1161,
1588061386266,0,0,0,542,5404,1078,1085,1121,
1588061416680,0,0,0,521,5397,1040,1045,1080,
1588061447198,0,0,0,507,5412,1014,1020,1056,
1588061477608,0,0,0,498,5432,991,1000,1036,
1588061507922,0,0,0,503,5477,998,1012,1052,
1588061538436,0,0,0,528,5605,1027,1060,1108,
1588061568861,0,0,0,559,5729,1061,1115,1170,
1588061599370,0,0,0,601,5843,1108,1187,1247,
1588061629882,0,0,0,582,5855,1067,1147,1204,
1588061660294,0,0,0,528,5817,977,1044,1096,
1588061690710,0,0,0,477,5739,896,947,992,
1588061721120,0,0,0,435,5677,830,868,909,
1588061751546,0,0,0,410,5629,792,822,860,
1588061781949,0,0,0,401,5611,777,804,841,
1588061812464,0,0,0,387,5605,753,778,814,
1588061842876,0,0,0,362,5539,711,728,759,
1588061873290,0,0,0,344,5480,683,693,721,
1588061903703,0,0,0,333,5411,670,673,698,
1588061934119,0,0,0,330,5351,671,668,691,
